thermal_demand;electricity_price;co2_price;gas_price;irradiance_riga
6767.52;219.99;82.25;79.105;547
7119.18;180.08;82.25;79.105;606
7187.34;170.16;82.25;79.105;607
7148.88;152.53;82.25;79.105;544
6762.02;134.13;82.25;79.105;0
6697.06;171.01;82.25;79.105;0
6793.39;201.59;82.25;79.105;0
6964.26;205.38;82.25;79.105;0
7278.47;220.3;82.25;79.105;0
7217.21;212.76;82.25;79.105;0
7094.08;210;82.25;79.105;0
6470.67;192.69;82.25;79.105;0
6399.11;164.46;82.25;79.105;0
6245.32;164.2;82.25;79.105;0
6158.65;122.09;82.25;79.105;0
6064.77;120.04;82.25;79.105;0
6179.49;110.03;82.25;79.105;0
6079.49;108.24;82.25;79.105;0
6058.97;107.46;82.25;79.105;0
6212.18;109.82;82.25;79.105;0
6396.33;140.52;82.25;79.105;0
6734.16;176.04;82.25;79.105;0
7032.44;190.97;82.25;79.105;0
7418.62;216.99;82.25;79.105;333
7395.40;196.91;82.25;79.105;0
7818.57;162.92;82.25;79.105;427
7745.13;160.04;81.7;79.105;366
7601.41;154.01;81.52;79.105;0
7504.28;152.29;81.52;79.105;0
7882.24;186.94;81.52;79.105;0
8081.55;217.18;81.52;79.105;0
8216.91;224.91;81.52;79.105;0
8669.79;262;81.52;79.105;0
8644.40;260.04;81.52;79.105;0
8652.85;234.32;81.52;79.105;0
8202.81;215.04;81.52;79.105;0
8069.58;204.39;81.52;79.105;0
7941.98;194.29;81.52;79.105;0
7719.52;184.9;81.52;79.105;0
7634.03;222.01;81.52;89.824;0
7504.95;205.08;81.52;89.824;0
7424.86;194.62;81.52;89.824;0
7300.16;182.64;81.52;89.824;0
7563.16;187.83;81.52;89.824;0
7918.89;190.58;81.52;89.824;0
8630.93;190.27;81.52;89.824;0
8742.03;204.46;81.52;89.824;20
8701.37;212.84;81.52;89.824;0
8649.90;230;81.52;89.824;0
8985.98;222.39;81.52;89.824;531
8792.58;214.92;81.52;89.824;0
8664.41;208.43;81.52;89.824;467
8502.93;200;81.52;89.824;265
8318.97;203.09;81.52;89.824;0
8018.61;213.98;81.52;89.824;0
8181.65;226.32;81.52;89.824;0
8582.75;260;81.52;89.824;0
8473.69;267.03;81.52;89.824;0
8300.21;261.41;81.52;89.824;0
7733.36;243.62;81.52;89.824;0
7512.92;220.1;81.52;89.824;0
7367.62;212.85;81.52;89.824;0
7083.26;209.41;81.52;89.824;0
6849.93;225.92;81.52;89.824;0
6601.83;216;81.52;89.824;0
6474.83;189.49;81.52;89.824;0
6485.34;181.98;81.52;89.824;0
6406.90;174.98;81.52;89.824;0
6489.81;165.91;81.52;89.824;0
6826.88;118.71;81.52;89.824;0
7012.31;119.45;81.52;89.824;0
6867.57;125.86;81.52;89.824;0
6839.70;129.46;81.52;89.824;0
7231.33;125.99;81.52;89.824;0
7127.37;131.83;81.52;89.824;0
7169.88;123.01;81.52;89.824;0
6814.55;122.49;81.52;89.824;0
6878.57;102.67;81.52;89.824;0
6896.58;121.95;81.52;89.824;0
7008.84;115;81.52;89.824;0
7520.32;125.42;81.52;89.824;0
7609.74;112.4;81.52;89.824;0
7504.20;97.49;81.52;89.824;0
6983.85;90.14;81.52;89.824;0
6799.29;97.09;81.52;89.824;0
6683.50;93.85;81.52;89.824;0
6557.20;87.2;81.52;89.824;0
6330.23;78.08;81.52;90.021;0
6294.03;34;81.52;90.021;0
6154.54;12.33;81.52;90.021;0
6038.40;10.09;81.52;90.021;0
6135.81;12.83;81.52;90.021;0
6359.14;36.16;81.52;90.021;0
6952.02;92.03;81.52;90.021;0
7027.84;102.8;81.52;90.021;0
6849.52;126;81.52;90.021;0
6684.39;100.9;81.52;90.021;0
6975.31;112.03;81.52;90.021;0
6947.83;111.25;81.52;90.021;0
