thermal_demand,electricity_price,co2_price,gas_price,waste_heat,biomass_price,loss_ratio,thermal_demand_with_losses
5741.57,113.51,82.25,92.598,6.1089,26.03,0.016399999999999998,5835.731747999999
6079.74,141.69,82.25,92.598,6.1885,26.03,0.016399999999999998,6179.447735999999
6223.93,156.85,82.25,92.598,6.1564,26.03,0.016399999999999998,6326.002452
6493.36,132.92,82.25,92.598,9.4023,26.03,0.016399999999999998,6599.851103999999
6619.75,147.75,82.25,92.598,8.9452,26.03,0.016399999999999998,6728.3139
6829.0,181.87,82.25,92.598,12.136,26.03,0.016399999999999998,6940.9956
6828.33,184.0,82.25,92.598,11.5547,26.03,0.016399999999999998,6940.314612
7239.7,176.37,82.25,92.598,13.6187,26.03,0.016399999999999998,7358.431079999999
7469.85,176.81,82.25,92.598,13.0253,26.03,0.016399999999999998,7592.3555400000005
7399.2,178.09,82.25,92.598,13.9486,26.03,0.016399999999999998,7520.54688
7000.48,161.34,82.25,92.598,12.6234,26.03,0.016399999999999998,7115.287871999999
6907.07,184.0,82.25,92.598,12.8014,26.03,0.016399999999999998,7020.345947999999
6908.28,200.0,82.25,92.598,12.9567,26.03,0.016399999999999998,7021.575792
6774.07,299.99,82.25,92.598,11.7658,26.03,0.016399999999999998,6885.164747999999
7232.47,244.45,82.25,92.598,11.9069,26.03,0.016399999999999998,7351.082508
7300.69,200.0,82.25,92.598,11.7145,26.03,0.016399999999999998,7420.421315999999
7195.84,179.78,82.25,92.598,12.7304,26.03,0.016399999999999998,7313.8517759999995
6590.6,164.51,82.25,92.598,11.3228,26.03,0.016399999999999998,6698.68584
6439.08,176.17,82.25,92.598,10.296,26.03,0.016399999999999998,6544.680912
6198.44,159.15,82.25,92.598,5.9081,26.03,0.016399999999999998,6300.094415999999
6087.19,120.76,82.25,92.598,5.9959,26.03,0.016399999999999998,6187.019915999999
5960.38,169.5,82.25,94.548,5.8675,26.03,0.016399999999999998,6058.1302319999995
5836.2,128.69,82.25,94.548,5.5231,26.03,0.016399999999999998,5931.91368
5793.95,104.0,82.25,94.548,5.675,26.03,0.016399999999999998,5888.97078
5752.99,93.2,82.25,94.548,6.1621,26.03,0.016399999999999998,5847.339035999999
5717.22,93.19,82.25,94.548,5.6719,26.03,0.016399999999999998,5810.982408
5833.96,93.19,82.25,94.548,6.0571,26.03,0.016399999999999998,5929.636944
6284.67,84.99,82.25,94.548,10.0672,26.03,0.016399999999999998,6387.738588
6573.53,96.89,82.25,94.548,10.3554,26.03,0.016399999999999998,6681.335891999999
6804.46,93.2,82.25,94.548,11.5554,26.03,0.016399999999999998,6916.0531439999995
6747.56,118.35,82.25,94.548,12.2994,26.03,0.016399999999999998,6858.219984
7100.61,97.53,82.25,94.548,15.1957,26.03,0.016399999999999998,7217.060003999999
7076.46,93.19,82.25,94.548,12.7474,26.03,0.016399999999999998,7192.513944
7097.48,91.5,82.25,94.548,11.8787,26.03,0.016399999999999998,7213.878671999999
6831.93,87.52,82.25,94.548,11.5282,26.03,0.016399999999999998,6943.973652
6758.13,87.23,82.25,94.548,13.7706,26.03,0.016399999999999998,6868.963332
6785.1,93.2,82.25,94.548,11.9147,26.03,0.016399999999999998,6896.37564
6742.43,96.21,82.25,94.548,13.4895,26.03,0.016399999999999998,6853.005852
7122.95,104.27,82.25,94.548,13.1865,26.03,0.016399999999999998,7239.76638
7127.24,106.09,82.25,94.548,12.0774,26.03,0.016399999999999998,7244.126735999999
6978.9,103.56,82.25,94.548,12.0438,26.03,0.016399999999999998,7093.3539599999995
6396.92,100.5,82.25,94.548,10.4991,26.03,0.016399999999999998,6501.829488
6296.1,93.31,82.25,94.548,10.2302,26.03,0.016399999999999998,6399.356040000001
6153.74,91.17,82.25,94.548,5.8602,26.03,0.016399999999999998,6254.661335999999
5925.6,83.86,82.25,94.548,6.2137,26.03,0.016399999999999998,6022.77984
5674.28,87.02,82.25,90.886,7.4409,26.03,0.016399999999999998,5767.338191999999
5510.5,84.32,82.25,90.886,6.5956,26.03,0.016399999999999998,5600.8722
5418.74,81.82,82.25,90.886,7.2118,26.03,0.016399999999999998,5507.607336
5427.59,79.11,82.25,90.886,7.1565,26.03,0.016399999999999998,5516.602476
5593.1,78.48,82.25,90.886,6.9727,26.03,0.016399999999999998,5684.826840000001
5752.31,82.1,82.25,90.886,6.6436,26.03,0.016399999999999998,5846.647884
6325.47,94.3,82.25,90.886,9.4601,26.03,0.016399999999999998,6429.207708
6422.63,111.22,82.25,90.886,9.3632,26.03,0.016399999999999998,6527.961132
6357.42,121.11,82.25,90.886,17.6982,26.03,0.016399999999999998,6461.681688
6219.06,120.73,82.25,90.886,13.4604,26.03,0.016399999999999998,6321.052584
6495.94,113.9,82.25,90.886,18.6564,26.03,0.016399999999999998,6602.473416
6624.13,139.05,82.25,90.886,17.0759,26.03,0.016399999999999998,6732.765732
6690.07,161.05,82.25,90.886,16.5258,26.03,0.016399999999999998,6799.787147999999
6257.58,137.91,82.25,90.886,15.8129,26.03,0.016399999999999998,6360.204312
6354.99,167.2,82.25,90.886,14.7371,26.03,0.016399999999999998,6459.2118359999995
6389.4,162.52,82.25,90.886,13.4486,26.03,0.016399999999999998,6494.186159999999
6351.92,129.93,82.25,90.886,16.018,26.03,0.016399999999999998,6456.091488
7027.37,132.31,82.25,90.886,11.3959,26.03,0.016399999999999998,7142.618868
7228.19,130.01,82.25,90.886,16.157,26.03,0.016399999999999998,7346.732316
7211.55,122.12,82.25,90.886,12.92,26.03,0.016399999999999998,7329.81942
6412.78,114.21,82.25,90.886,13.0391,26.03,0.016399999999999998,6517.949592
6204.88,102.83,82.25,90.886,11.0958,26.03,0.016399999999999998,6306.640032
6084.58,99.98,82.25,90.886,6.7202,26.03,0.016399999999999998,6184.367112
5835.12,91.49,82.25,90.886,6.6665,26.03,0.016399999999999998,5930.815968
5548.16,87.82,82.25,90.886,6.7352,27.95,0.016399999999999998,5639.149824
5389.06,86.69,82.25,90.886,7.5095,27.95,0.016399999999999998,5477.440584
5410.36,85.0,82.25,90.886,6.6133,27.95,0.016399999999999998,5499.0899039999995
5337.53,84.13,82.25,90.886,7.605,27.95,0.016399999999999998,5425.065492
5307.79,85.41,82.25,90.886,7.1674,27.95,0.016399999999999998,5394.837756
5403.87,90.12,82.25,90.886,7.0996,27.95,0.016399999999999998,5492.493468
6069.78,108.51,82.25,90.886,11.3297,27.95,0.016399999999999998,6169.3243919999995
6387.88,123.22,82.25,90.886,11.4196,27.95,0.016399999999999998,6492.641232
6330.12,133.25,82.25,90.886,12.5033,27.95,0.016399999999999998,6433.933967999999
6048.59,120.89,82.25,90.886,11.8551,27.95,0.016399999999999998,6147.786876
6434.56,112.78,82.25,90.886,14.5909,27.95,0.016399999999999998,6540.086784
6493.51,105.4,82.25,90.886,11.0215,27.95,0.016399999999999998,6600.003564
6476.85,100.0,82.25,90.886,15.8018,27.95,0.016399999999999998,6583.07034
6223.57,100.6,82.25,90.886,15.2408,27.95,0.016399999999999998,6325.6365479999995
6451.66,112.36,82.25,90.886,13.6748,27.95,0.016399999999999998,6557.467224
6803.7,121.09,82.25,90.886,17.4492,27.95,0.016399999999999998,6915.28068
6882.34,130.99,82.25,90.886,15.6385,27.95,0.016399999999999998,6995.210376
7302.91,137.95,82.25,90.886,11.8288,27.95,0.016399999999999998,7422.677723999999
7362.63,137.72,82.25,90.886,15.9045,27.95,0.016399999999999998,7483.377132
7244.22,130.33,82.25,90.886,12.3009,27.95,0.016399999999999998,7363.025208
6573.54,117.36,82.25,90.886,13.3317,27.95,0.016399999999999998,6681.346055999999
