thermal_demand;electricity_price;co2_price;gas_price
5132.64;184.27;82.25;82.675
5210.19;179.58;82.25;82.675
5314.27;178.33;82.25;82.675
5611.39;193.5;82.25;82.675
6458.85;240.56;82.25;82.675
6914.48;273.18;82.25;82.675
7026.39;300.1;82.25;82.675
7061.62;292.74;82.25;82.675
7543.08;275.5;82.25;82.675
7536.88;258.65;82.25;82.675
7381.56;245.11;82.25;82.675
7019.90;232.08;82.25;82.675
7162.14;234.77;82.25;82.675
7372.45;240.01;82.25;82.675
7514.49;255;82.25;82.675
7889.68;284.82;82.25;82.675
8024.33;285.97;82.25;82.675
7791.86;269.03;82.25;82.675
6993.87;235.25;82.25;82.675
6744.92;191.5;82.25;82.675
6516.32;193.69;82.25;82.675
6264.65;172.18;82.25;82.675
6156.21;173.14;82.25;79.105
6025.24;161.69;82.25;79.105
5882.31;153.58;82.25;79.105
5881.74;147.07;82.25;79.105
5978.57;152.47;82.25;79.105
6253.97;171.26;82.25;79.105
6831.22;192.03;82.25;79.105
7167.96;215.24;82.25;79.105
7051.52;235.9;82.25;79.105
6767.52;219.99;82.25;79.105
7119.18;180.08;82.25;79.105
7187.34;170.16;82.25;79.105
7148.88;152.53;82.25;79.105
6762.02;134.13;82.25;79.105
6697.06;171.01;82.25;79.105
6793.39;201.59;82.25;79.105
6964.26;205.38;82.25;79.105
7278.47;220.3;82.25;79.105
7217.21;212.76;82.25;79.105
7094.08;210;82.25;79.105
6470.67;192.69;82.25;79.105
6399.11;164.46;82.25;79.105
6245.32;164.2;82.25;79.105
6158.65;122.09;82.25;79.105
6064.77;120.04;82.25;79.105
6179.49;110.03;82.25;79.105
6079.49;108.24;82.25;79.105
6058.97;107.46;82.25;79.105
6212.18;109.82;82.25;79.105
6396.33;140.52;82.25;79.105
6734.16;176.04;82.25;79.105
7032.44;190.97;82.25;79.105
7418.62;216.99;82.25;79.105
7395.40;196.91;82.25;79.105
7818.57;162.92;82.25;79.105
7745.13;160.04;81.7;79.105
7601.41;154.01;81.52;79.105
7504.28;152.29;81.52;79.105
7882.24;186.94;81.52;79.105
8081.55;217.18;81.52;79.105
8216.91;224.91;81.52;79.105
8669.79;262;81.52;79.105
8644.40;260.04;81.52;79.105
8652.85;234.32;81.52;79.105
8202.81;215.04;81.52;79.105
8069.58;204.39;81.52;79.105
7941.98;194.29;81.52;79.105
7719.52;184.9;81.52;79.105
7634.03;222.01;81.52;89.824
7504.95;205.08;81.52;89.824
7424.86;194.62;81.52;89.824
7300.16;182.64;81.52;89.824
7563.16;187.83;81.52;89.824
7918.89;190.58;81.52;89.824
8630.93;190.27;81.52;89.824
8742.03;204.46;81.52;89.824
8701.37;212.84;81.52;89.824
8649.90;230;81.52;89.824
8985.98;222.39;81.52;89.824
8792.58;214.92;81.52;89.824
8664.41;208.43;81.52;89.824
8502.93;200;81.52;89.824
8318.97;203.09;81.52;89.824
8018.61;213.98;81.52;89.824
8181.65;226.32;81.52;89.824
8582.75;260;81.52;89.824
8473.69;267.03;81.52;89.824
8300.21;261.41;81.52;89.824
7733.36;243.62;81.52;89.824
7512.92;220.1;81.52;89.824
7367.62;212.85;81.52;89.824
7083.26;209.41;81.52;89.824
6849.93;225.92;81.52;89.824
6601.83;216;81.52;89.824
6474.83;189.49;81.52;89.824
6485.34;181.98;81.52;89.824
