thermal_demand;electricity_price;co2_price;gas_price;waste_heat
5882.31;73.65;82.25;79.105;5.4681
5881.74;71.37;82.25;79.105;6.2826
5978.57;72.24;82.25;79.105;6.1529
6253.97;74.33;82.25;79.105;5.868
6831.22;79.34;82.25;79.105;9.1819
7167.96;79.49;82.25;79.105;8.8848
7051.52;80.19;82.25;79.105;12.3762
6767.52;80.2;82.25;79.105;11.5493
7119.18;80.19;82.25;79.105;12.721
7187.34;74.18;82.25;79.105;13.9791
7148.88;70.66;82.25;79.105;12.1566
6762.02;67.51;82.25;79.105;11.7896
6697.06;75.51;82.25;79.105;13.0615
6793.39;80.18;82.25;79.105;12.8186
6964.26;80.19;82.25;79.105;12.7212
7278.47;79.09;82.25;79.105;13.1877
7217.21;79.09;82.25;79.105;12.8734
7094.08;73.82;82.25;79.105;10.469
6470.67;73.06;82.25;79.105;12.5983
6399.11;80.19;82.25;79.105;7.8278
6245.32;67.35;82.25;79.105;6.0075
6158.65;61.65;82.25;79.105;6.1052
6064.77;64.02;82.25;79.105;6.0264
6179.49;62.11;82.25;79.105;6.1404
6079.49;62.93;82.25;79.105;5.9896
6058.97;64.88;82.25;79.105;6.3641
6212.18;65.38;82.25;79.105;6.4142
6396.33;65.2;82.25;79.105;6.1838
6734.16;67.62;82.25;79.105;10.2899
7032.44;72.01;82.25;79.105;10.3092
7418.62;76.79;82.25;79.105;10.5062
7395.4;81.38;82.25;79.105;11.4867
7818.57;81.33;82.25;79.105;13.5726
7745.13;82.79;81.7;79.105;10.6789
7601.41;81.07;81.52;79.105;11.2517
7504.28;77.04;81.52;79.105;13.01
7882.24;79.15;81.52;79.105;13.3632
8081.55;82.32;81.52;79.105;13.4253
8216.91;86.62;81.52;79.105;12.5627
8669.79;91.86;81.52;79.105;11.3475
8644.4;94.64;81.52;79.105;11.4067
8652.85;85.26;81.52;79.105;11.3365
8202.81;79.06;81.52;79.105;11.7355
8069.58;78.41;81.52;79.105;10.5265
7941.98;74.67;81.52;79.105;5.4661
7719.52;66.89;81.52;79.105;5.2488
7634.03;69.65;81.52;89.824;6.9961
7504.95;66.05;81.52;89.824;6.4503
7424.86;64.31;81.52;89.824;6.82
7300.16;62.04;81.52;89.824;7.2398
7563.16;63.57;81.52;89.824;7.2869
7918.89;70.57;81.52;89.824;6.8168
8630.93;85.79;81.52;89.824;11.3495
8742.03;113.52;81.52;89.824;12.6356
8701.37;111.04;81.52;89.824;12.1766
8649.9;128.06;81.52;89.824;12.6783
8985.98;101.89;81.52;89.824;15.0563
8792.58;129.02;81.52;89.824;16.5627
8664.41;129.08;81.52;89.824;15.1461
8502.93;129.08;81.52;89.824;14.5044
8318.97;123.78;81.52;89.824;15.4037
8018.61;108.28;81.52;89.824;16.1826
8181.65;110.02;81.52;89.824;14.6791
8582.75;109.08;81.52;89.824;17.2426
8473.69;115.57;81.52;89.824;13.2034
8300.21;110.66;81.52;89.824;14.8607
7733.36;103.15;81.52;89.824;13.0043
7512.92;92.95;81.52;89.824;10.9378
7367.62;89.49;81.52;89.824;7.4168
7083.26;86.43;81.52;89.824;7.1112
6849.93;82.19;81.52;89.824;6.9589
6601.83;81.4;81.52;89.824;6.8942
6474.83;80.07;81.52;89.824;6.8663
6485.34;78.26;81.52;89.824;6.0213
6406.9;77.59;81.52;89.824;7.3451
6489.81;83.45;81.52;89.824;7.1546
6826.88;123;81.52;89.824;12.5532
7012.31;193.42;81.52;89.824;11.5682
6867.57;275.59;81.52;89.824;12.4621
6839.7;270.56;81.52;89.824;15.2402
7231.33;249.93;81.52;89.824;14.1279
7127.37;200.55;81.52;89.824;16.3933
7169.88;170.04;81.52;89.824;16.8375
6814.55;141.97;81.52;89.824;13.7304
6878.57;143.58;81.52;89.824;18.1906
6896.58;156.16;81.52;89.824;12.662
7008.84;170.08;81.52;89.824;12.1139
7520.32;170.81;81.52;89.824;10.0722
7609.74;164.52;81.52;89.824;14.1397
7504.2;145.42;81.52;89.824;15.0038
6983.85;151.51;81.52;89.824;13.9338
6799.29;131.44;81.52;89.824;11.8594
6683.5;121.14;81.52;89.824;6.7564
6557.2;102.43;81.52;89.824;6.1962
6330.23;95.63;81.52;90.021;7.2391
6294.03;84.26;81.52;90.021;7.0547
